ques_1_1,ques_1_2,ques_1_3,ques_1_4,ques_1_5,ques_1_6,ques_1_7,ques_1_8,ques_1_9,ques_1_10,ques_1_11,ques_1_12,ques_1_13,ques_1_14,ques_1_15,ques_1_16,ques_1_17,ques_1_18,ques_1_19,ques_1_20,ques_1_21,ques_1_22,ques_1_23,ques_1_24,ques_1_25,ques_1_26,ques_1_27,ques_1_28,ques_1_29,ques_1_30,ques_1_31,ques_1_32,id,interview,school,class,studentid,classind,classsize,idt,st_V8,sch_score_68_3,sch_score_68_8,sch_score_68_13,sch_gpa_68,sch_score_70_3,sch_score_70_8,sch_score_70_13,sch_gpa_10,age,iq,edu_father,edu_mother,empmot,int_index,int_5q,intdum1,intdum2,intdum3,intdum4,intdum5,intdum6,iq_d1,iq_d2,iq_d3,iq_d4,iq_d5,iq_d6,edu_fatherd1,edu_fatherd2,edu_fatherd3,edu_fatherd4,edu_fatherdm,edu_motherd1,edu_motherd2,edu_motherd3,edu_motherd4,edu_motherdm,prestige,fem,_merge
3,6,14,30,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,118115,1,18,1,15,28,36,18115,kurssystem,,,,,2,4,3,2.7692308,16,54,7,4,2,15,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,62,1,3
1,10,13,17,21,24,,,,,,,,,,,,,,,,,,,,,,,,,,,118116,1,18,1,16,28,36,18116,kurssystem,3,4,3,3.2,4,5,3,3.3076923,15,,,6,1,16,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,58,1,3
10,13,18,21,24,26,29,35,,,,,,,,,,,,,,,,,,,,,,,,,118117,1,18,1,17,28,36,18117,kurssystem,,,,,4,4,5,3.4615386,17,41,4,1,3,11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,62,0,3
7,8,9,11,12,17,21,22,23,24,26,34,,,,,,,,,,,,,,,,,,,,,118118,1,18,1,18,28,36,18118,kurssystem,3,3,5,3.0999999,4,3,3,3.3333333,15,41,10,,2,12,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,70,1,3
4,7,9,18,20,33,,,,,,,,,,,,,,,,,,,,,,,,,,,118119,1,18,1,19,28,36,18119,kurssystem,2,4,4,2.5,3,4,3,2.5833333,15,53,13,12,3,15,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,62,0,3
1,4,21,24,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,118120,1,18,1,20,28,36,18120,kurssystem,4,4,4,3.7777777,4,4,5,3.8181818,16,32,13,3,3,7,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,74,0,3
10,13,17,18,24,29,35,,,,,,,,,,,,,,,,,,,,,,,,,,118121,1,18,1,21,28,36,18121,kurssystem,,,,,3,5,4,3.5384614,17,49,6,4,3,11,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,54,1,3
9,12,18,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118122,1,18,1,22,28,36,18122,kurssystem,3,3,3,2.5999999,3,2,2,2.3846154,15,57,1,1,1,16,4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,28,1,3
14,22,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118123,1,18,1,23,28,36,18123,kurssystem,3,4,4,2.9000001,3,4,5,3,17,35,2,1,3,10,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,42,1,3
10,17,21,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118124,1,18,1,24,28,36,18124,kurssystem,4,4,3,3.5999999,,,,,16,32,13,12,3,8,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,60,0,3
3,9,15,22,23,26,27,31,32,,,,,,,,,,,,,,,,,,,,,,,,118125,1,18,1,25,28,36,18125,kurssystem,4,5,4,3.8,4,5,4,3.6153846,16,31,2,2,1,14,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,39,1,3
7,8,9,11,12,17,18,22,24,34,35,,,,,,,,,,,,,,,,,,,,,,118126,1,18,1,26,28,36,18126,kurssystem,2,2,2,2.3,3,4,3,2.75,14,44,8,6,2,12,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,39,1,3
14,17,21,35,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,118127,1,18,1,27,28,36,18127,kurssystem,2,3,5,3.7,3,4,4,3.6153846,17,25,,,2,16,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,46,1,3
6,15,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118128,1,18,1,28,28,36,18128,kurssystem,,,,,3,4,3,3,16,37,13,13,2,12,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,74,1,3
1,10,13,17,21,35,,,,,,,,,,,,,,,,,,,,,,,,,,,118129,1,18,1,29,28,36,18129,kurssystem,3,3,2,2.0999999,2,4,2,2.3333333,15,50,13,6,2,10,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,70,1,3
3,8,9,18,23,28,34,36,,,,,,,,,,,,,,,,,,,,,,,,,118130,1,18,1,30,28,36,18130,kurssystem,3,3,2,2.7,2,3,3,3.0769231,15,38,9,10,1,13,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,43,1,3
15,25,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118131,1,18,1,31,28,36,18131,kurssystem,4,3,4,3.3,4,3,3,2.9230769,14,34,10,1,2,16,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,73,1,3
18,25,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118132,1,18,1,32,28,36,18132,kurssystem,4,5,4,3.5555556,,,,,16,30,13,6,2,14,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,54,1,3
1,4,5,7,8,9,10,12,18,19,20,21,24,27,29,33,35,,,,,,,,,,,,,,,,118133,1,18,1,33,28,36,18133,kurssystem,4,4,5,3.4000001,4,5,4,3.25,15,41,2,2,2,11,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,39,0,3
9,12,17,18,22,24,26,30,,,,,,,,,,,,,,,,,,,,,,,,,118134,1,18,1,34,28,36,18134,kurssystem,3,5,4,3.2222223,2,4,5,3,14,31,13,13,1,12,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,59,1,3
13,17,21,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118135,1,18,1,35,28,36,18135,kurssystem,,,,,1,4,5,3.3076923,17,63,9,9,2,10,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,62,0,3
2,14,15,21,27,30,35,,,,,,,,,,,,,,,,,,,,,,,,,,118136,1,18,1,36,28,36,18136,kurssystem,,,,,3,5,4,3.0833333,14,28,13,11,2,12,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,60,1,3
7,8,9,11,13,17,21,22,24,25,,,,,,,,,,,,,,,,,,,,,,,118201,1,18,2,1,29,31,18201,kurssystem,2,3,1,1.7,3,2,1,1.9230769,14,,4,3,2,18,5,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,60,1,3
1,4,5,6,7,8,9,11,13,15,16,17,19,21,22,24,25,26,27,28,29,,,,,,,,,,,,118202,1,18,2,2,29,31,18202,kurssystem,4,4,3,3.7,,,,,15,36,13,3,3,11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,74,0,3
7,19,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118203,1,18,2,3,29,31,18203,kurssystem,2,4,3,2.4000001,3,5,4,2.8333333,17,41,13,13,2,12,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,54,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118204,1,18,2,4,29,31,18204,neusprachlich,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,1,3
1,9,11,13,15,16,17,19,20,25,27,,,,,,,,,,,,,,,,,,,,,,118205,1,18,2,5,29,31,18205,kurssystem,4,4,4,3.7,4,4,4,3.75,15,45,2,3,2,11,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,50,0,3
1,2,5,6,7,8,9,11,12,17,21,22,25,26,27,28,29,31,,,,,,,,,,,,,,,118206,1,18,2,6,29,31,18206,kurssystem,3,4,2,2.7,3,4,3,2.9230769,17,39,11,11,2,11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,64,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118207,1,18,2,7,29,31,18207,neusprachlich,2,2,4,2.2,2,1,4,2.25,15,,9,6,2,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,46,0,3
1,4,9,11,18,20,25,26,31,,,,,,,,,,,,,,,,,,,,,,,,118208,1,18,2,8,29,31,18208,kurssystem,3,4,4,3.5999999,,,,,16,47,5,2,1,16,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,33,1,3
1,7,11,13,18,21,22,28,29,,,,,,,,,,,,,,,,,,,,,,,,118209,1,18,2,9,29,31,18209,kurssystem,,,,,3,4,4,3.3333333,17,56,6,2,2,13,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,70,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118210,1,18,2,10,29,31,18210,neusprachlich,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,0,3
4,5,7,9,13,18,25,31,,,,,,,,,,,,,,,,,,,,,,,,,118211,1,18,2,11,29,31,18211,sozialwissenschaftl,3,3,5,3.5999999,4,4,4,3.7692308,15,59,4,3,1,12,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,62,1,3
4,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118212,1,18,2,12,29,31,18212,kurssystem,,,,,2,4,1,2.2307692,15,55,12,6,2,12,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,57,0,3
1,5,11,17,21,25,26,28,29,,,,,,,,,,,,,,,,,,,,,,,,118213,1,18,2,13,29,31,18213,kurssystem,3,4,3,3.4000001,4,4,3,3.3846154,15,54,6,3,1,13,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,76,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118214,1,18,2,14,29,31,18214,neusprachlich,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,1,3
1,3,5,7,10,16,17,19,21,22,27,30,,,,,,,,,,,,,,,,,,,,,118215,1,18,2,15,29,31,18215,kurssystem,3,4,3,3,4,4,3,3,14,52,10,10,1,15,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,46,0,3
1,3,5,6,7,9,11,15,19,24,26,27,28,29,,,,,,,,,,,,,,,,,,,118216,1,18,2,16,29,31,18216,kurssystem,4,4,3,3.2,5,4,3,3.4166667,14,47,10,6,2,12,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,62,0,3
1,3,4,5,6,8,11,13,14,19,20,21,25,26,27,31,,,,,,,,,,,,,,,,,118217,1,18,2,17,29,31,18217,kurssystem,2,2,1,2,3,2,1,2.4166667,15,56,2,3,1,13,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,42,1,3
8,11,13,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118218,1,18,2,18,29,31,18218,kurssystem,4,4,2,3.2222223,4,4,3,4.090909,14,65,10,3,1,13,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,62,1,3
3,7,15,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118219,1,18,2,19,29,31,18219,kurssystem,2,5,1,2.2,3,4,3,2.6666667,17,53,2,6,1,14,3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,33,0,3
4,7,8,9,11,12,13,26,,,,,,,,,,,,,,,,,,,,,,,,,118220,1,18,2,20,29,31,18220,kurssystem,,,,,4,3,2,2.6153846,16,56,2,6,1,7,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,33,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118221,1,18,2,21,29,31,18221,neusprachlich,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,0,3
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,118222,1,18,2,22,29,31,18222,kurssystem,,,,,4,3,2,2.3333333,16,50,6,7,2,11,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,43,0,3
5,10,12,13,15,16,28,30,,,,,,,,,,,,,,,,,,,,,,,,,118223,1,18,2,23,29,31,18223,kurssystem,4,4,4,3.5999999,4,4,4,3.4166667,17,41,9,2,3,14,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,54,0,3
1,9,11,13,21,25,27,28,29,,,,,,,,,,,,,,,,,,,,,,,,118224,1,18,2,24,29,31,18224,kurssystem,3,4,5,3.8,,,,,17,33,9,2,2,13,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,54,0,3
2,9,11,13,24,25,27,28,29,,,,,,,,,,,,,,,,,,,,,,,,118225,1,18,2,25,29,31,18225,kurssystem,4,4,4,3.8,4,4,5,3.5833333,17,25,13,10,3,15,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,53,0,3
4,5,6,7,8,9,11,12,13,19,20,21,24,31,,,,,,,,,,,,,,,,,,,118226,1,18,2,26,29,31,18226,kurssystem,2,3,4,2.9000001,4,3,4,3.5833333,14,57,13,13,1,12,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,46,1,3
1,2,9,11,15,17,22,24,25,28,29,31,,,,,,,,,,,,,,,,,,,,,118227,1,18,2,27,29,31,18227,kurssystem,,,,,4,5,3,3.4615386,17,50,9,3,2,16,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,58,0,3
2,9,11,17,22,24,25,27,,,,,,,,,,,,,,,,,,,,,,,,,118228,1,18,2,28,29,31,18228,kurssystem,,,,,4,4,2,3.6666667,17,45,13,13,2,11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,74,0,3
1,9,11,13,15,21,22,24,25,26,27,28,29,,,,,,,,,,,,,,,,,,,,118229,1,18,2,29,29,31,18229,kurssystem,3,3,2,2.8888888,4,4,4,3.5454545,17,60,13,9,2,15,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,57,0,3
1,3,5,11,15,16,17,,,,,,,,,,,,,,,,,,,,,,,,,,118230,1,18,2,30,29,31,18230,kurssystem,4,4,2,2.8,3,5,2,2.6666667,15,45,13,13,2,14,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,64,0,3
4,7,8,9,11,13,17,26,,,,,,,,,,,,,,,,,,,,,,,,,118231,1,18,2,31,29,31,18231,kurssystem,2,2,1,1.7,3,1,1,2.1538463,15,51,2,2,2,12,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,44,1,3
16,31,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119101,1,19,1,1,30,33,19101,MATH.-NAT,4,3,3,3.1666667,4,3,3,3.2727273,14,52,2,3,2,16,4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,62,0,3
6,12,13,17,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,119102,1,19,1,2,30,33,19102,MATH.-NAT,3,5,3,3.75,4,4,2,3.1818182,15,45,9,9,1,16,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,46,0,3
2,7,21,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119103,1,19,1,3,30,33,19103,MATH.-NAT,4,4,4,3.8181818,3,4,4,3.4000001,16,45,6,2,2,13,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,39,0,3
4,12,25,27,29,31,32,,,,,,,,,,,,,,,,,,,,,,,,,,119104,1,19,1,4,30,33,19104,MATH.-NAT,4,4,5,3.8333333,3,4,4,3.5,15,48,13,13,1,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,74,0,3
2,17,27,29,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,119105,1,19,1,5,30,33,19105,MATH.-NAT,3,2,2,3,4,3,3,3.4000001,14,40,7,2,2,20,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,43,0,3
2,12,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119106,1,19,1,6,30,33,19106,MATH.-NAT,4,5,5,3.5,3,4,4,3.090909,16,54,10,6,2,16,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,73,0,3
10,11,13,14,15,30,31,,,,,,,,,,,,,,,,,,,,,,,,,,119107,1,19,1,7,30,33,19107,MATH.-NAT,3,3,1,2.4166667,3,3,3,2.8181818,15,59,10,6,1,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,55,0,3
14,17,23,31,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,119108,1,19,1,8,30,33,19108,MATH.-NAT,4,5,3,2.9166667,4,4,3,2.909091,18,40,10,8,3,15,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,52,0,3
2,3,7,8,10,14,17,19,21,24,25,26,27,29,31,32,33,,,,,,,,,,,,,,,,119109,1,19,1,9,30,33,19109,MATH.-NAT,5,5,5,3.8333333,4,4,4,3.0999999,17,50,8,9,2,16,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,42,0,3
2,3,7,9,14,21,,,,,,,,,,,,,,,,,,,,,,,,,,,119110,1,19,1,10,30,33,19110,MATH.-NAT,3,3,2,2.9166667,3,3,3,3.090909,15,58,2,3,2,15,4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,39,0,3
1,2,7,10,13,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,119111,1,19,1,11,30,33,19111,MATH.-NAT,4,4,3,3.4166667,4,3,4,3.4545455,14,44,10,8,2,15,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,59,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119112,1,19,1,12,30,33,19112,MATH.-NAT,3,4,4,3.5,4,3,4,3.4545455,17,47,2,2,2,10,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,59,0,3
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119113,1,19,1,13,30,33,19113,MATH.-NAT,4,4,4,3.5,4,4,4,3.2727273,15,47,13,6,3,17,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,54,0,3
7,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119114,1,19,1,14,30,33,19114,MATH.-NAT,4,5,4,3.1666667,4,4,4,3.2727273,15,50,2,3,2,12,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,39,0,3
1,3,16,17,22,28,30,,,,,,,,,,,,,,,,,,,,,,,,,,119115,1,19,1,15,30,33,19115,MATH.-NAT,4,3,4,2.909091,4,3,3,2.6363637,14,50,2,2,2,12,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,42,0,3
1,18,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119116,1,19,1,16,30,33,19116,MATH.-NAT,5,4,4,3.6666667,3,4,3,3.5,14,30,2,2,2,10,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,52,0,3
2,5,8,18,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,119117,1,19,1,17,30,33,19117,MATH.-NAT,4,4,3,3.5,4,3,3,3,15,35,9,6,2,15,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,70,0,3
16,17,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119118,1,19,1,18,30,33,19118,MATH.-NAT,4,3,3,3.1666667,4,4,3,3.2727273,15,51,2,2,1,15,4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,62,0,3
7,10,11,12,15,14,26,,,,,,,,,,,,,,,,,,,,,,,,,,119119,1,19,1,19,30,33,19119,MATH.-NAT,4,3,3,3.25,3,4,3,2.8181818,15,46,13,13,1,18,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,74,0,3
7,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119120,1,19,1,20,30,33,19120,MATH.-NAT,3,3,2,2.4166667,2,3,3,2.3636363,15,50,2,2,3,13,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,39,0,3
2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119121,1,19,1,21,30,33,19121,MATH.-NAT,5,4,4,3.75,4,4,4,3.6363637,17,35,9,4,2,9,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,46,0,3
7,8,14,15,16,17,30,31,,,,,,,,,,,,,,,,,,,,,,,,,119122,1,19,1,22,30,33,19122,MATH.-NAT,5,4,3,3.5,4,3,2,3.0999999,14,47,2,4,3,18,5,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,39,0,3
2,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119123,1,19,1,23,30,33,19123,MATH.-NAT,3,4,5,3.5,3,4,3,2.8,16,46,12,10,2,14,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,62,0,3
6,7,8,9,10,14,21,23,28,30,31,32,,,,,,,,,,,,,,,,,,,,,119124,1,19,1,24,30,33,19124,MATH.-NAT,4,3,4,3.5833333,3,2,4,2.5,17,44,9,6,2,15,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,46,0,3
4,27,29,31,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,119125,1,19,1,25,30,33,19125,MATH.-NAT,4,2,5,3.5833333,4,4,4,3.8,16,38,8,3,1,12,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,43,0,3
7,11,14,19,21,32,,,,,,,,,,,,,,,,,,,,,,,,,,,119126,1,19,1,26,30,33,19126,MATH.-NAT,4,4,4,3.8333333,4,4,5,3.5454545,14,40,4,1,2,13,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,39,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119127,1,19,1,27,30,33,19127,MATH.-NAT,3,3,4,3.6666667,4,4,4,4,17,,6,2,3,,,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,48,0,3
15,22,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119128,1,19,1,28,30,33,19128,MATH.-NAT,,,,,4,3,4,3.5454545,15,50,2,1,1,15,4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,39,0,3
4,12,25,27,31,32,,,,,,,,,,,,,,,,,,,,,,,,,,,119129,1,19,1,29,30,33,19129,MATH.-NAT,4,5,4,3.5833333,4,5,3,3.4000001,16,45,5,7,1,12,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,39,0,3
15,17,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119130,1,19,1,30,30,33,19130,MATH.-NAT,2,3,3,3.0833333,3,3,2,2.6363637,15,42,2,2,1,18,5,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,42,0,3
6,16,17,18,27,32,33,,,,,,,,,,,,,,,,,,,,,,,,,,119131,1,19,1,31,30,33,19131,MATH.-NAT,2,2,2,1.5833334,2,4,2,2.090909,15,59,4,4,3,15,4,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,42,0,3
4,5,8,25,27,29,31,,,,,,,,,,,,,,,,,,,,,,,,,,119132,1,19,1,32,30,33,19132,MATH.-NAT,3,4,4,3.4545455,4,4,4,3.8,16,46,13,10,2,11,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,74,0,3
1,12,17,18,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,119133,1,19,1,33,30,33,19133,MATH.-NAT,,,,,4,2,3,2.909091,15,46,9,2,2,12,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,46,0,3
5,12,13,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119201,1,19,2,1,31,31,19201,MATH.-NAT,3,4,3,3.0833333,2,4,4,3.0833333,15,46,12,5,1,14,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,46,0,3
10,12,20,24,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,119202,1,19,2,2,31,31,19202,MATH.-NAT,3,4,4,3.6666667,3,4,4,3.5,16,30,10,3,2,12,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,43,0,3
6,16,19,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119203,1,19,2,3,31,31,19203,MATH.-NAT,4,4,3,3.2727273,3,5,4,3.2,15,35,8,1,1,8,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,46,0,3
2,12,14,16,20,25,29,,,,,,,,,,,,,,,,,,,,,,,,,,119204,1,19,2,4,31,31,19204,MATH.-NAT,4,4,4,3.6666667,,,,,15,40,6,2,3,17,5,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,62,0,3
1,10,11,12,13,20,22,25,27,28,,,,,,,,,,,,,,,,,,,,,,,119205,1,19,2,5,31,31,19205,MATH.-NAT,3,4,2,2.5454545,2,4,3,2.75,16,40,9,4,3,13,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,53,0,3
